id,name_uk,parent_id,tag,description_uk,primary_image,seo
190,Кавуни,,watermelon,"Рослина поширилося з Африки, пройшло довгий селекційний шлях. На сьогодні це - однорічна стелеться трава з кавалками листям. Плід кавуна - соковита ягода з безліччю насіння.",catalog/categories/c190.jpg,kavuni
200,Дині,,melon,"Традиційна баштанних культур для степової зони. Головне дати рослині більше тепла і сонця. Урожай, при дотриманні агротехніки обробітку, можна отримати вже в кінці червня.",catalog/categories/c200.jpg,dini
210,Гарбузи,,pumpkin,"За кількістю вмісту заліза, гарбуз - чемпіон серед овочів. Гарбузове насіння джерело масел, багатих мікроелементами. Її соковита м'якоть використовується в дієтології.",catalog/categories/c210.jpg,garbuzi
220,Кабачки,,marrow-squash,"Кабачок - цукіні продукт, низькокалорійний і легкозасвоюваний організмом, тому його використовують в дієтології і в дитячому харчуванні.",catalog/categories/c220.jpg,kabachki
230,Патисони,,squash,"Плоди патисонів тонкокорие. М'якоть білосніжна, хрустка і дуже щільна. Малюками зазвичай підходять для консервації, а більші плоди використовують в кулінарії.",catalog/categories/c230.jpg,patisoni
240,Зелені культури,,green-crops,"Ранні вітаміни на столах - зелені культури. Всі різновиди салатів, шпинат, щавель, спаржа, черемша.",catalog/categories/c240.jpg,zeleni-kulturi
250,Пряносмакові культури,,spicy-crops,"До групи пряно-смакових культур входять трави, які використовуються як приправи: майоран, кріп, чабер і багато-багато інших однорічних і багаторічних рослин. Вони відносно холодостійкі.",catalog/categories/c250.jpg,prianosmakovi-kulturi
270,Бобові культури,,bean-crops,Різноманітність видів сімейства бобових - величезна. Застосовують їх як продукт харчування.,catalog/categories/c270.jpg,bobovi-kulturi
280,Квасоля ,,beans,"Квасоля відноситься до розряду бобових з за того, що має стручкову форму заповнену зернами і тим не менше це відмінне від бобових рослина, що має дуже багато різних сортів.",catalog/categories/c280.jpg,kvasolia
281,Квасоля спаржева,280,asparagus-beans,"Спаржева квасоля вирощується заради смачних стулок: у них відсутній пергаментний прошарок, тому квасоля вживається в їжу цілком. Смаком нагадує спаржу.",catalog/categories/c281.jpg,kvasolia-sparzheva
282,Квасоля зернова,280,cereal-beans,Лущильні сорти квасолі вирощуються виключно для вживання в їжу зерен: дуже поживних і містять велику кількість білка.,catalog/categories/c282.jpg,kvasolia-zernova
290,Кукурудза,,corn,"Кукурудза - цариця полів, це однорічна трав'яниста рослина відноситься до злакових культур.",catalog/categories/c290.jpg,kukurudza
330,Квіти,,flowers,"Аромати, різноманітність кольору, ніжність, трепет і любов - все це відноситься до багатотисячної армії квітів всіх видів, всіх категорій і всіх національностей.",catalog/categories/c330.jpg,kviti
331,Квіти однорічні,700,annual-flowes,"Великий діапазон кольорів, багатий вибір форм, різниця термінів цвітіння - дає можливість створювати будь-які композиції. І те, що рослини однорічні - дозволяє експериментувати нескінченно.",catalog/categories/c331.jpg,kviti-odnorichni
332,Квіти багаторічні,700,perennial-flowers,"Багаторічники зазвичай дають можливість формувати композиції на кілька років вперед. Прекрасно сусідять зі своїми побратимами і не вибагливі до ґрунту. Це і високорослі, і цибулинні (типу мускари або птицемлечник), і стелящиеся почвопокривні рослини.",catalog/categories/c332.jpg,kviti-bagatorichni
400,Добрива та захист,,,Добрива та захист,catalog/categories/c400.jpg,dobriva-ta-zakhist
401,Гербіциди,400,,Гербіциди,catalog/categories/c401.jpg,gerbitsidi
402,Інсектициди,400,,Інсектициди,catalog/categories/c402.jpg,insektitsidi
403,Фунгіциди,400,,Фунгіциди,catalog/categories/c403.jpg,fungitsidi
405,Біопрепарати,400,,Біопрепарати,catalog/categories/c405.jpg,biopreparati
406,Прилипачі,400,,Прилипачі,catalog/categories/c406.jpg,prilipachi
407,Добрива та стимулятори,400,,Добрива та стимулятори,catalog/categories/c407.jpg,dobriva-ta-stimuliatori
500,Супутні товари,,,,catalog/categories/c500.jpg,
