id,pid,product_id,top_availability,variant_id,title_ua,title_ru,original_price,sale_price,currency,stock_qty,value,unit,type,values_json,availability
64,28,p100028,,P100028-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
65,28,p100028,,P100028-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
66,28,p100028,,P100028-M,Середній пакет,Средний  пакет,15.0,8.0,UAH,100,20.0,pcs,quantity,,
67,29,p100029,,P100029-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
68,29,p100029,,P100029-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
69,30,p100030,,P100030-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
70,30,p100030,,P100030-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
71,31,p100031,,P100031-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
72,31,p100031,,P100031-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
73,31,p100031,,P100031-M,Середній пакет,Средний  пакет,15.0,8.0,UAH,100,20.0,pcs,quantity,,
74,32,p100032,,P100032-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
75,32,p100032,,P100032-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
76,33,p100033,,P100033-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
77,33,p100033,,P100033-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
78,34,p100034,,P100034-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
79,34,p100034,,P100034-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
80,34,p100034,,P100034-M,Середній пакет,Средний  пакет,15.0,8.0,UAH,100,20.0,pcs,quantity,,
81,35,p100035,,P100035-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
82,35,p100035,,P100035-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
83,36,p100036,,P100036-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
84,36,p100036,,P100036-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
85,37,p100037,,P100037-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
86,37,p100037,,P100037-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
87,37,p100037,,P100037-M,Середній пакет,Средний  пакет,15.0,8.0,UAH,100,20.0,pcs,quantity,,
88,38,p100038,,P100038-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
89,38,p100038,,P100038-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
90,39,p100039,,P100039-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
91,39,p100039,,P100039-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
92,40,p100040,,P100040-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
93,40,p100040,,P100040-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
94,40,p100040,,P100040-M,Середній пакет,Средний  пакет,15.0,8.0,UAH,100,20.0,pcs,quantity,,
95,41,p100041,,P100041-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
96,41,p100041,,P100041-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
97,42,p100042,,P100042-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
98,42,p100042,,P100042-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
99,43,p100043,,P100043-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
100,43,p100043,,P100043-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
101,43,p100043,,P100043-M,Середній пакет,Средний  пакет,15.0,8.0,UAH,100,20.0,pcs,quantity,,
102,44,p100044,,P100044-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
103,44,p100044,,P100044-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
104,45,p100045,,P100045-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
105,45,p100045,,P100045-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
106,46,p100046,,P100046-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
107,46,p100046,,P100046-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
108,46,p100046,,P100046-M,Середній пакет,Средний  пакет,15.0,8.0,UAH,100,20.0,pcs,quantity,,
109,47,p100047,,P100047-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
110,47,p100047,,P100047-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
111,48,p100048,,P100048-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
112,48,p100048,,P100048-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
113,49,p100049,,P100049-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
114,49,p100049,,P100049-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
115,49,p100049,,P100049-M,Середній пакет,Средний  пакет,15.0,8.0,UAH,100,20.0,pcs,quantity,,
116,50,p100050,,P100050-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
117,50,p100050,,P100050-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
118,51,p100051,,P100051-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
119,51,p100051,,P100051-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
120,52,p100052,,P100052-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
121,52,p100052,,P100052-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
122,52,p100052,,P100052-M,Середній пакет,Средний  пакет,15.0,8.0,UAH,100,20.0,pcs,quantity,,
123,53,p100053,,P100053-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
124,53,p100053,,P100053-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
125,54,p100054,,P100054-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
126,54,p100054,,P100054-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
127,55,p100055,,P100055-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
128,55,p100055,,P100055-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
129,55,p100055,,P100055-M,Середній пакет,Средний  пакет,15.0,8.0,UAH,100,20.0,pcs,quantity,,
130,56,p100056,,P100056-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
131,56,p100056,,P100056-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
132,57,p100057,,P100057-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
133,57,p100057,,P100057-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
134,58,p100058,,P100058-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
135,58,p100058,,P100058-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
136,58,p100058,,P100058-M,Середній пакет,Средний  пакет,15.0,8.0,UAH,100,20.0,pcs,quantity,,
137,59,p100059,,P100059-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
138,59,p100059,,P100059-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
139,60,p100060,,P100060-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
140,60,p100060,,P100060-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
141,61,p100061,,P100061-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
142,61,p100061,,P100061-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
143,61,p100061,,P100061-M,Середній пакет,Средний  пакет,15.0,8.0,UAH,100,20.0,pcs,quantity,,
144,62,p100062,,P100062-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
145,62,p100062,,P100062-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
146,63,p100063,,P100063-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
147,63,p100063,,P100063-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
148,64,p100064,,P100064-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
149,64,p100064,,P100064-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
150,64,p100064,,P100064-M,Середній пакет,Средний  пакет,15.0,8.0,UAH,100,20.0,pcs,quantity,,
151,65,p100065,,P100065-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
152,65,p100065,,P100065-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
153,66,p100066,,P100066-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
154,66,p100066,,P100066-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
155,67,p100067,,P100067-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
156,67,p100067,,P100067-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
157,67,p100067,,P100067-M,Середній пакет,Средний  пакет,15.0,8.0,UAH,100,20.0,pcs,quantity,,
158,68,p100068,,P100068-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
159,68,p100068,,P100068-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
160,69,p100069,,P100069-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
161,69,p100069,,P100069-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
162,70,p100070,,P100070-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
163,70,p100070,,P100070-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
164,70,p100070,,P100070-M,Середній пакет,Средний  пакет,15.0,8.0,UAH,100,20.0,pcs,quantity,,
165,71,p100071,,P100071-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
166,71,p100071,,P100071-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
167,72,p100072,,P100072-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
168,72,p100072,,P100072-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
169,73,p100073,,P100073-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
170,73,p100073,,P100073-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
171,73,p100073,,P100073-M,Середній пакет,Средний  пакет,15.0,8.0,UAH,100,20.0,pcs,quantity,,
172,74,p100074,,P100074-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
173,74,p100074,,P100074-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
174,75,p100075,,P100075-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
175,75,p100075,,P100075-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
176,76,p100076,,P100076-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
177,76,p100076,,P100076-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
178,76,p100076,,P100076-M,Середній пакет,Средний  пакет,15.0,8.0,UAH,100,20.0,pcs,quantity,,
179,77,p100077,,P100077-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
180,77,p100077,,P100077-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
181,78,p100078,,P100078-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
182,78,p100078,,P100078-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
183,79,p100079,,P100079-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
184,79,p100079,,P100079-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
185,79,p100079,,P100079-M,Середній пакет,Средний  пакет,15.0,8.0,UAH,100,20.0,pcs,quantity,,
186,80,p100080,,P100080-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
187,80,p100080,,P100080-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
188,81,p100081,,P100081-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
189,81,p100081,,P100081-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
190,82,p100082,,P100082-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
191,82,p100082,,P100082-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
192,82,p100082,,P100082-M,Середній пакет,Средний  пакет,15.0,8.0,UAH,100,20.0,pcs,quantity,,
193,83,p100083,,P100083-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
194,83,p100083,,P100083-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
195,84,p100084,,P100084-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
196,84,p100084,,P100084-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
197,85,p100085,,P100085-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
198,85,p100085,,P100085-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
199,85,p100085,,P100085-M,Середній пакет,Средний  пакет,15.0,8.0,UAH,100,20.0,pcs,quantity,,
200,86,p100086,,P100086-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
201,86,p100086,,P100086-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
202,87,p100087,,P100087-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
203,87,p100087,,P100087-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
204,88,p100088,,P100088-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
205,88,p100088,,P100088-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
206,88,p100088,,P100088-M,Середній пакет,Средний  пакет,15.0,8.0,UAH,100,20.0,pcs,quantity,,
207,89,p100089,,P100089-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
208,89,p100089,,P100089-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
209,90,p100090,,P100090-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
210,90,p100090,,P100090-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
211,91,p100091,,P100091-S,Маленький пакет,Маленький  пакет,10.0,,UAH,100,20.0,pcs,quantity,,
212,91,p100091,,P100091-L,Великий пакет,Большой  пакет,20.0,,UAH,100,20.0,pcs,quantity,,
213,92,p100093,,P100093-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
214,92,p100093,,P100093-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
215,92,p100093,,P100093-M,Середній пакет,Средний  пакет,15.0,8.0,UAH,100,20.0,pcs,quantity,,
216,93,p100094,,P100094-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
217,93,p100094,,P100094-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
218,94,p100095,,P100095-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
219,94,p100095,,P100095-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
220,95,p100096,,P100096-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
221,95,p100096,,P100096-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
222,95,p100096,,P100096-M,Середній пакет,Средний  пакет,15.0,8.0,UAH,100,20.0,pcs,quantity,,
223,96,p100097,,P100097-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
224,96,p100097,,P100097-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
225,97,p100099,,P100099-S,Маленький пакет,Маленький  пакет,10.0,8.0,UAH,100,20.0,pcs,quantity,,
226,97,p100099,,P100099-L,Великий пакет,Большой  пакет,20.0,8.0,UAH,100,20.0,pcs,quantity,,
227,98,p330100,,P330100-S,Маленький пакет,Маленький  пакет,10.0,,UAH,100,3.0,gr,weight,,
228,98,p330100,,P330100-L,Великий пакет,Большой  пакет,20.0,,UAH,100,3.0,gr,weight,,
229,99,p110101,,P110101-S,Маленький пакет,Маленький  пакет,10.0,,UAH,100,20.0,pcs,quantity,,
230,99,p110101,,P110101-L,Великий пакет,Большой  пакет,20.0,,UAH,100,20.0,pcs,quantity,,
231,100,p110102,,P110102-S,Маленький пакет,Маленький  пакет,10.0,,UAH,100,20.0,pcs,quantity,,
232,100,p110102,,P110102-L,Великий пакет,Большой  пакет,20.0,,UAH,100,20.0,pcs,quantity,,
233,101,p110103,,P110103-S,Маленький пакет,Маленький  пакет,10.0,,UAH,100,20.0,pcs,quantity,,
234,101,p110103,,P110103-L,Великий пакет,Большой  пакет,20.0,,UAH,100,20.0,pcs,quantity,,
235,102,p110104,,P110104-S,Маленький пакет,Маленький  пакет,10.0,,UAH,100,20.0,pcs,quantity,,
236,102,p110104,,P110104-L,Великий пакет,Большой  пакет,20.0,,UAH,100,20.0,pcs,quantity,,
