category,group,key,ua,ru
120,Cultivation,open_field,Відкритий ґрунт,Открытый грунт
120,Growth,compact,Компактний,Компактный
120,Maturity,early,Ранній,Ранний
120,Maturity,early_maturing,Ранньостиглий,Раннеспелый
120,Maturity,late,Пізній,Поздний
120,Maturity,mid_early,Середньоранній,Среднеранний
120,Maturity,mid_late,Середньопізній,Среднепоздний
120,Maturity,mid_maturing,Середньостиглий,Среднеспелый
120,Resistance,cold_tolerant,Холодостійкий,Холодостойкий
120,Resistance,disease_resistant,Стійкий до хвороб,Устойчив к болезням
120,Shape,cylindrical,Циліндричний,Цилиндрический
120,Shape,elongated,Подовжений,Удлинённый
120,Shape,flat_round,Плоскоокруглий,Плоскоокруглый
120,Shape,oval,Овальний,Овальный
120,Shape,round,Округлий,Округлый
120,Texture,firm,Щільний,Плотный
120,Texture,juicy,Соковитий,Сочный
120,Texture,keeping,Лежкий,Лёжкий
120,Texture,meaty,М'ясистий,Мясистый
120,Texture,transportable,Транспортабельний,Транспортабельный
120,Usage,canning,Консервування,Консервирование
120,Usage,fresh,Свіже споживання,Свежее потребление
120,Usage,juice,Сік,Сок
120,Usage,universal,Універсальний,Универсальный
120,Yield,high_yield,Високоврожайний,Высокоурожайный
120,Yield,uniform_ripening,Дружнє дозрівання,Дружное созревание
130,Color,black,Чорний,Чёрный
130,Color,pink,Рожевий,Розовый
130,Color,raspberry,Малиновий,Малиновый
130,Color,red,Червоний,Красный
130,Color,yellow,Жовтий,Жёлтый
130,Cultivation,greenhouse,Теплиця/укриття,Теплица/укрытия
130,Cultivation,open_field,Відкритий ґрунт,Открытый грунт
130,Maturity,early,Ранній,Ранний
130,Maturity,early_maturing,Ранньостиглий,Раннеспелый
130,Maturity,mid_maturing,Середньостиглий,Среднеспелый
130,Resistance,cold_tolerant,Холодостійкий,Холодостойкий
130,Shape,cylindrical,Циліндричний,Цилиндрический
130,Shape,flat_round,Плоскоокруглий,Плоскоокруглый
130,Shape,oval,Овальний,Овальный
130,Shape,round,Округлий,Округлый
130,Texture,firm,Щільний,Плотный
130,Texture,juicy,Соковитий,Сочный
130,Texture,keeping,Лежкий,Лёжкий
130,Texture,sweet,Солодкий,Сладкий
130,Traits,marketable,Товарний вигляд,Товарный вид
130,Usage,fresh,Свіже споживання,Свежее потребление
130,Usage,juice,Сік,Сок
130,Yield,high_yield,Високоврожайний,Высокоурожайный
140,Color,red,Червоний,Красный
140,Color,yellow,Жовтий,Жёлтый
140,Cultivation,greenhouse,Теплиця/укриття,Теплица/укрытия
140,Cultivation,needs_trellis,Потребує підв'язки,Требует подвязки
140,Cultivation,open_field,Відкритий ґрунт,Открытый грунт
140,Growth,compact,Компактний,Компактный
140,Growth,short,Низькорослий,Низкорослый
140,Growth,sprawling,Розлогий,Раскидистый
140,Growth,tall,Високорослий,Высокорослый
140,Maturity,early,Ранній,Ранний
140,Maturity,early_maturing,Ранньостиглий,Раннеспелый
140,Maturity,mid_early,Середньоранній,Среднеранний
140,Maturity,mid_maturing,Середньостиглий,Среднеспелый
140,Resistance,disease_resistant,Стійкий до хвороб,Устойчив к болезням
140,Resistance,drought_tolerant,Посухостійкий,Засухоустойчивый
140,Shape,cylindrical,Циліндричний,Цилиндрический
140,Shape,elongated,Подовжений,Удлинённый
140,Shape,round,Округлий,Округлый
140,Texture,juicy,Соковитий,Сочный
140,Texture,meaty,М'ясистий,Мясистый
140,Texture,sweet,Солодкий,Сладкий
140,Usage,fresh,Свіже споживання,Свежее потребление
140,Usage,juice,Сік,Сок
140,Usage,universal,Універсальний,Универсальный
140,Yield,high_yield,Високоврожайний,Высокоурожайный
150,Color,black,Чорний,Чёрный
150,Cultivation,greenhouse,Теплиця/укриття,Теплица/укрытия
150,Cultivation,open_field,Відкритий ґрунт,Открытый грунт
150,Growth,compact,Компактний,Компактный
150,Growth,tall,Високорослий,Высокорослый
150,Maturity,early,Ранній,Ранний
150,Maturity,mid_early,Середньоранній,Среднеранний
150,Maturity,mid_maturing,Середньостиглий,Среднеспелый
150,Resistance,disease_resistant,Стійкий до хвороб,Устойчив к болезням
150,Shape,cylindrical,Циліндричний,Цилиндрический
150,Shape,elongated,Подовжений,Удлинённый
150,Shape,pear,Грушоподібний,Грушевидный
150,Shape,round,Округлий,Округлый
150,Texture,firm,Щільний,Плотный
150,Texture,keeping,Лежкий,Лёжкий
150,Texture,transportable,Транспортабельний,Транспортабельный
150,Usage,universal,Універсальний,Универсальный
150,Yield,high_yield,Високоврожайний,Высокоурожайный
160,Color,black,Чорний,Чёрный
160,Color,brown,Коричневий,Коричневый
160,Color,pink,Рожевий,Розовый
160,Color,red,Червоний,Красный
160,Color,yellow,Жовтий,Жёлтый
160,Cultivation,open_field,Відкритий ґрунт,Открытый грунт
160,Maturity,early_maturing,Ранньостиглий,Раннеспелый
160,Maturity,mid_maturing,Середньостиглий,Среднеспелый
160,Resistance,powdery_mildew,Мучниста роса,Мучнистая роса
160,Shape,elongated,Подовжений,Удлинённый
160,Shape,oval,Овальний,Овальный
160,Shape,round,Округлий,Округлый
160,Texture,firm,Щільний,Плотный
160,Texture,juicy,Соковитий,Сочный
160,Texture,keeping,Лежкий,Лёжкий
160,Texture,sweet,Солодкий,Сладкий
160,Traits,marketable,Товарний вигляд,Товарный вид
160,Usage,juice,Сік,Сок
160,Usage,salad,Салатний,Салатный
160,Usage,universal,Універсальний,Универсальный
160,Yield,high_yield,Високоврожайний,Высокоурожайный
170,Color,orange,Оранжевий,Оранжевый
170,Color,red,Червоний,Красный
170,Maturity,early,Ранній,Ранний
170,Maturity,early_maturing,Ранньостиглий,Раннеспелый
170,Maturity,mid_early,Середньоранній,Среднеранний
170,Maturity,mid_late,Середньопізній,Среднепоздний
170,Maturity,mid_maturing,Середньостиглий,Среднеспелый
170,Shape,cylindrical,Циліндричний,Цилиндрический
170,Shape,elongated,Подовжений,Удлинённый
170,Shape,round,Округлий,Округлый
170,Texture,juicy,Соковитий,Сочный
170,Texture,keeping,Лежкий,Лёжкий
170,Texture,sweet,Солодкий,Сладкий
170,Usage,canning,Консервування,Консервирование
170,Usage,fresh,Свіже споживання,Свежее потребление
170,Usage,juice,Сік,Сок
170,Yield,high_yield,Високоврожайний,Высокоурожайный
180,Color,pink,Рожевий,Розовый
180,Color,red,Червоний,Красный
180,Color,yellow,Жовтий,Жёлтый
180,Maturity,early,Ранній,Ранний
180,Maturity,early_maturing,Ранньостиглий,Раннеспелый
180,Maturity,mid_early,Середньоранній,Среднеранний
180,Maturity,mid_late,Середньопізній,Среднепоздний
180,Maturity,mid_maturing,Середньостиглий,Среднеспелый
180,Resistance,disease_resistant,Стійкий до хвороб,Устойчив к болезням
180,Resistance,drought_tolerant,Посухостійкий,Засухоустойчивый
180,Resistance,powdery_mildew,Мучниста роса,Мучнистая роса
180,Shape,cylindrical,Циліндричний,Цилиндрический
180,Shape,oval,Овальний,Овальный
180,Shape,round,Округлий,Округлый
180,Texture,juicy,Соковитий,Сочный
180,Texture,keeping,Лежкий,Лёжкий
180,Texture,meaty,М'ясистий,Мясистый
180,Texture,sweet,Солодкий,Сладкий
180,Texture,transportable,Транспортабельний,Транспортабельный
180,Usage,canning,Консервування,Консервирование
180,Usage,fresh,Свіже споживання,Свежее потребление
180,Usage,juice,Сік,Сок
180,Yield,high_yield,Високоврожайний,Высокоурожайный
190,Color,black,Чорний,Чёрный
190,Color,brown,Коричневий,Коричневый
190,Color,pink,Рожевий,Розовый
190,Color,raspberry,Малиновий,Малиновый
190,Color,red,Червоний,Красный
190,Cultivation,greenhouse,Теплиця/укриття,Теплица/укрытия
190,Cultivation,open_field,Відкритий ґрунт,Открытый грунт
190,Maturity,early_maturing,Ранньостиглий,Раннеспелый
190,Maturity,mid_late,Середньопізній,Среднепоздний
190,Maturity,mid_maturing,Середньостиглий,Среднеспелый
190,Resistance,fusarium,Фузаріоз,Фузариоз
190,Shape,elongated,Подовжений,Удлинённый
190,Shape,oval,Овальний,Овальный
190,Shape,round,Округлий,Округлый
190,Texture,crunchy,Хрусткий,Хрустящий
190,Texture,juicy,Соковитий,Сочный
190,Texture,keeping,Лежкий,Лёжкий
190,Texture,sweet,Солодкий,Сладкий
190,Texture,transportable,Транспортабельний,Транспортабельный
190,Traits,marketable,Товарний вигляд,Товарный вид
190,Usage,juice,Сік,Сок
190,Usage,salad,Салатний,Салатный
190,Yield,high_yield,Високоврожайний,Высокоурожайный
200,Color,brown,Коричневий,Коричневый
200,Color,orange,Оранжевий,Оранжевый
200,Color,yellow,Жовтий,Жёлтый
200,Cultivation,open_field,Відкритий ґрунт,Открытый грунт
200,Growth,compact,Компактний,Компактный
200,Maturity,early,Ранній,Ранний
200,Maturity,early_maturing,Ранньостиглий,Раннеспелый
200,Maturity,mid_early,Середньоранній,Среднеранний
200,Maturity,mid_maturing,Середньостиглий,Среднеспелый
200,Resistance,cold_tolerant,Холодостійкий,Холодостойкий
200,Resistance,drought_tolerant,Посухостійкий,Засухоустойчивый
200,Resistance,fusarium,Фузаріоз,Фузариоз
200,Resistance,powdery_mildew,Мучниста роса,Мучнистая роса
200,Shape,oval,Овальний,Овальный
200,Shape,round,Округлий,Округлый
200,Texture,crunchy,Хрусткий,Хрустящий
200,Texture,firm,Щільний,Плотный
200,Texture,juicy,Соковитий,Сочный
200,Texture,meaty,М'ясистий,Мясистый
200,Texture,sweet,Солодкий,Сладкий
200,Texture,transportable,Транспортабельний,Транспортабельный
200,Traits,marketable,Товарний вигляд,Товарный вид
200,Usage,juice,Сік,Сок
200,Yield,high_yield,Високоврожайний,Высокоурожайный
210,Color,orange,Оранжевий,Оранжевый
210,Color,red,Червоний,Красный
210,Color,yellow,Жовтий,Жёлтый
210,Cultivation,open_field,Відкритий ґрунт,Открытый грунт
210,Maturity,early_maturing,Ранньостиглий,Раннеспелый
210,Maturity,mid_maturing,Середньостиглий,Среднеспелый
210,Resistance,drought_tolerant,Посухостійкий,Засухоустойчивый
210,Shape,cylindrical,Циліндричний,Цилиндрический
210,Shape,elongated,Подовжений,Удлинённый
210,Shape,oval,Овальний,Овальный
210,Shape,round,Округлий,Округлый
210,Texture,firm,Щільний,Плотный
210,Texture,juicy,Соковитий,Сочный
210,Texture,keeping,Лежкий,Лёжкий
210,Texture,sweet,Солодкий,Сладкий
210,Texture,transportable,Транспортабельний,Транспортабельный
210,Usage,fresh,Свіже споживання,Свежее потребление
210,Usage,juice,Сік,Сок
210,Yield,high_yield,Високоврожайний,Высокоурожайный
220,Color,black,Чорний,Чёрный
220,Color,pink,Рожевий,Розовый
220,Color,yellow,Жовтий,Жёлтый
220,Cultivation,open_field,Відкритий ґрунт,Открытый грунт
220,Growth,compact,Компактний,Компактный
220,Maturity,early_maturing,Ранньостиглий,Раннеспелый
220,Resistance,cold_tolerant,Холодостійкий,Холодостойкий
220,Resistance,disease_resistant,Стійкий до хвороб,Устойчив к болезням
220,Shape,cylindrical,Циліндричний,Цилиндрический
220,Shape,elongated,Подовжений,Удлинённый
220,Shape,oval,Овальний,Овальный
220,Texture,crunchy,Хрусткий,Хрустящий
220,Texture,firm,Щільний,Плотный
220,Texture,juicy,Соковитий,Сочный
220,Texture,keeping,Лежкий,Лёжкий
220,Texture,transportable,Транспортабельний,Транспортабельный
220,Usage,juice,Сік,Сок
220,Yield,high_yield,Високоврожайний,Высокоурожайный
220,Yield,uniform_ripening,Дружнє дозрівання,Дружное созревание
230,Color,orange,Оранжевий,Оранжевый
230,Color,yellow,Жовтий,Жёлтый
230,Maturity,early,Ранній,Ранний
230,Maturity,early_maturing,Ранньостиглий,Раннеспелый
230,Shape,round,Округлий,Округлый
230,Usage,canning,Консервування,Консервирование
230,Yield,high_yield,Високоврожайний,Высокоурожайный
240,Color,pink,Рожевий,Розовый
240,Cultivation,greenhouse,Теплиця/укриття,Теплица/укрытия
240,Cultivation,open_field,Відкритий ґрунт,Открытый грунт
240,Growth,compact,Компактний,Компактный
240,Maturity,early,Ранній,Ранний
240,Maturity,early_maturing,Ранньостиглий,Раннеспелый
240,Maturity,mid_maturing,Середньостиглий,Среднеспелый
240,Resistance,cold_tolerant,Холодостійкий,Холодостойкий
240,Shape,elongated,Подовжений,Удлинённый
240,Shape,oval,Овальний,Овальный
240,Texture,crunchy,Хрусткий,Хрустящий
240,Texture,firm,Щільний,Плотный
240,Texture,juicy,Соковитий,Сочный
240,Texture,meaty,М'ясистий,Мясистый
240,Texture,sweet,Солодкий,Сладкий
240,Usage,fresh,Свіже споживання,Свежее потребление
240,Usage,juice,Сік,Сок
240,Usage,salad,Салатний,Салатный
240,Yield,high_yield,Високоврожайний,Высокоурожайный
250,Color,yellow,Жовтий,Жёлтый
250,Cultivation,open_field,Відкритий ґрунт,Открытый грунт
250,Growth,sprawling,Розлогий,Раскидистый
250,Maturity,early,Ранній,Ранний
250,Maturity,early_maturing,Ранньостиглий,Раннеспелый
250,Resistance,cold_tolerant,Холодостійкий,Холодостойкий
250,Texture,juicy,Соковитий,Сочный
250,Texture,sweet,Солодкий,Сладкий
250,Usage,canning,Консервування,Консервирование
250,Usage,fresh,Свіже споживання,Свежее потребление
250,Usage,juice,Сік,Сок
250,Usage,paste,Паста,Паста
250,Usage,salad,Салатний,Салатный
250,Yield,high_yield,Високоврожайний,Высокоурожайный
270,Color,red,Червоний,Красный
270,Color,yellow,Жовтий,Жёлтый
270,Growth,compact,Компактний,Компактный
270,Growth,short,Низькорослий,Низкорослый
270,Maturity,early,Ранній,Ранний
270,Maturity,early_maturing,Ранньостиглий,Раннеспелый
270,Maturity,mid_late,Середньопізній,Среднепоздний
270,Maturity,mid_maturing,Середньостиглий,Среднеспелый
270,Resistance,cold_tolerant,Холодостійкий,Холодостойкий
270,Resistance,disease_resistant,Стійкий до хвороб,Устойчив к болезням
270,Resistance,drought_tolerant,Посухостійкий,Засухоустойчивый
270,Texture,sweet,Солодкий,Сладкий
270,Usage,canning,Консервування,Консервирование
270,Usage,fresh,Свіже споживання,Свежее потребление
270,Yield,high_yield,Високоврожайний,Высокоурожайный
270,Yield,uniform_ripening,Дружнє дозрівання,Дружное созревание
280,Color,brown,Коричневий,Коричневый
280,Color,red,Червоний,Красный
280,Color,yellow,Жовтий,Жёлтый
280,Cultivation,needs_trellis,Потребує підв'язки,Требует подвязки
280,Growth,compact,Компактний,Компактный
280,Growth,short,Низькорослий,Низкорослый
280,Maturity,early_maturing,Ранньостиглий,Раннеспелый
280,Maturity,mid_early,Середньоранній,Среднеранний
280,Maturity,mid_late,Середньопізній,Среднепоздний
280,Maturity,mid_maturing,Середньостиглий,Среднеспелый
280,Resistance,drought_tolerant,Посухостійкий,Засухоустойчивый
280,Shape,elongated,Подовжений,Удлинённый
280,Shape,round,Округлий,Округлый
280,Traits,long_storage,Довге зберігання,Долгое хранение
280,Usage,canning,Консервування,Консервирование
280,Usage,sauce,Соус,Соус
280,Yield,high_yield,Високоврожайний,Высокоурожайный
280,Yield,uniform_ripening,Дружнє дозрівання,Дружное созревание
290,Color,red,Червоний,Красный
290,Color,yellow,Жовтий,Жёлтый
290,Maturity,early,Ранній,Ранний
290,Maturity,early_maturing,Ранньостиглий,Раннеспелый
290,Maturity,mid_early,Середньоранній,Среднеранний
290,Maturity,mid_late,Середньопізній,Среднепоздний
290,Maturity,mid_maturing,Середньостиглий,Среднеспелый
290,Resistance,disease_resistant,Стійкий до хвороб,Устойчив к болезням
290,Resistance,drought_tolerant,Посухостійкий,Засухоустойчивый
290,Shape,cylindrical,Циліндричний,Цилиндрический
290,Shape,elongated,Подовжений,Удлинённый
290,Texture,firm,Щільний,Плотный
290,Texture,juicy,Соковитий,Сочный
290,Texture,sweet,Солодкий,Сладкий
290,Traits,marketable,Товарний вигляд,Товарный вид
290,Usage,baby_food,Дитяче харчування,Детское питание
290,Usage,canning,Консервування,Консервирование
290,Usage,fresh,Свіже споживання,Свежее потребление
290,Usage,juice,Сік,Сок
290,Yield,high_yield,Високоврожайний,Высокоурожайный
290,Yield,uniform_ripening,Дружнє дозрівання,Дружное созревание
330,Color,black,Чорний,Чёрный
330,Color,brown,Коричневий,Коричневый
330,Color,orange,Оранжевий,Оранжевый
330,Color,pink,Рожевий,Розовый
330,Color,raspberry,Малиновий,Малиновый
330,Color,red,Червоний,Красный
330,Color,yellow,Жовтий,Жёлтый
330,Cultivation,open_field,Відкритий ґрунт,Открытый грунт
330,Growth,compact,Компактний,Компактный
330,Growth,short,Низькорослий,Низкорослый
330,Growth,sprawling,Розлогий,Раскидистый
330,Growth,tall,Високорослий,Высокорослый
330,Resistance,cold_tolerant,Холодостійкий,Холодостойкий
330,Resistance,drought_tolerant,Посухостійкий,Засухоустойчивый
330,Shape,elongated,Подовжений,Удлинённый
330,Shape,oval,Овальний,Овальный
330,Texture,firm,Щільний,Плотный
330,Texture,sweet,Солодкий,Сладкий
330,Traits,long_storage,Довге зберігання,Долгое хранение
330,Usage,fresh,Свіже споживання,Свежее потребление
330,Usage,universal,Універсальний,Универсальный
330,Yield,uniform_ripening,Дружнє дозрівання,Дружное созревание
400,Color,black,Чорний,Чёрный
400,Color,orange,Оранжевий,Оранжевый
400,Color,red,Червоний,Красный
400,Color,yellow,Жовтий,Жёлтый
400,Cultivation,greenhouse,Теплиця/укриття,Теплица/укрытия
400,Cultivation,open_field,Відкритий ґрунт,Открытый грунт
400,Resistance,alternaria,Альтернаріоз,Альтернариоз
400,Resistance,cold_tolerant,Холодостійкий,Холодостойкий
400,Resistance,disease_resistant,Стійкий до хвороб,Устойчив к болезням
400,Resistance,drought_tolerant,Посухостійкий,Засухоустойчивый
400,Resistance,fusarium,Фузаріоз,Фузариоз
400,Resistance,late_blight,Фітофтороз,Фитофтороз
400,Resistance,septoria,Септоріоз,Септориоз
400,Shape,elongated,Подовжений,Удлинённый
400,Texture,firm,Щільний,Плотный
400,Texture,juicy,Соковитий,Сочный
400,Texture,keeping,Лежкий,Лёжкий
400,Traits,long_storage,Довге зберігання,Долгое хранение
400,Usage,canning,Консервування,Консервирование
400,Usage,juice,Сік,Сок
400,Usage,paste,Паста,Паста
400,Usage,universal,Універсальний,Универсальный
500,Color,black,Чорний,Чёрный
500,Color,brown,Коричневий,Коричневый
500,Color,orange,Оранжевий,Оранжевый
500,Color,pink,Рожевий,Розовый
500,Color,yellow,Жовтий,Жёлтый
500,Growth,compact,Компактний,Компактный
500,Shape,elongated,Подовжений,Удлинённый
500,Texture,firm,Щільний,Плотный
500,Usage,salad,Салатний,Салатный
