id,name,primary_image,category_id,subcategory_id,product_id,availability,price (цена),weight (вес),weight_class,year,created_at,updated_at,seo,secondary_images,tags,description,name_ru,description_ru
13,Дамські пальчики,p100013.jpg,100,102,p10013,20,10,5,шт,2026,9/27/2025,12/12/2025,damski-palchyky,,"early_maturing,tall,pink","Ранньостиглий сорт, плодоношення починається на 100-110 добу з розсади, висока рослина, плоди витягнуті, зібрані в щітки по 6-8 штук, рожеві, красиві.",Дамские пальчики,"Раннеспелый сорт, плодоношение начинается на 100-110 день от всходов, высокорослое растение, плоды вытянутые, собранные в кисти по 6-8 шт, розовые, красивые."
14,Де барао оранжевий,p100014.jpg,100,101,p10014,20,12.5,5,шт,2026,9/28/2025,12/13/2025,de-barao-oranzhevyi,,"mid_late,late,orange,plum,open_field,high_yield","Середньопізній сорт відкритого грунту, але має якості кімнатного вирощування, висотою до 2,5-3,00 м. Пучок розгалужений. Плід помаранчева сливка, високоврожайний.",Де Барао оранжевый,"Среднепоздний сорт открытого грунта, но имеет качества комнатного выращивания, высотой до 2, 5-3, 00 м. Гроздь разветвленная. Сливка оранжевая, урожайная."
15,Де барао рожевий,p100015.jpg,100,101,p10015,20,15,1,гр,2026,9/29/2025,12/14/2025,de-barao-rozhevyi,,"mid_late,late,pink,plum,open_field","Середньо-пізній сорт відкритого грунту, але має якості кімнатного вирощування, висотою до 2, 5-3, 00 м. Гроно розгалужене. Сливка рожева, врожайна.",Де Барао розовый,"Среднепоздний сорт открытого грунта, но имеет качества комнатного выращивания, высотой до 2,5-3,00 м. Гроздь разветвленная. Сливка розовая, урожайная."
16,Де барао тигровий,p100016.jpg,100,103,p10016,20,15,1,гр,2026,9/30/2025,12/15/2025,de-barao-tyhrovyi,,"mid_late,late,red,plum,open_field","Середньо пізній  сорт для відкритого грунту, має можливість кімнатного вирощування, висотою до-3,0 м. Пучок розгалужений. Червоний к
Колір із зеленою смужкою, врожайна",Де Барао тигровый,"Среднепоздний для открытого грунта, имеет качества комнатного выращивания, высотой до 2. 5-3. 0 м. Гроздь разветвленная. Сливка красная в зеленую полоску,урожайная."
17,Де барао Царський,p100017.jpg,100,101,p10017,20,12,5,шт,2026,10/1/2025,12/16/2025,de-barao-tsarskyi,,"mid_late,late,red,pink,plum,open_field","Середній пізній сорт відкритого грунту, висотою 2. 5-3. 0 м, розгалужений пучок дає до 20 плодів , сливок масою від 100-200 г.Колір червоний з рожевим відтінком продуктивний, смачний.",Де Барао Царский,"Среднепоздний сорт открытого грунта, высотой 2. 5-3. 0 м, разветвленная гроздь дает до 20 плодов массой от 100-200гр. Сливка красная с розовым оттенком урожайная, вкусная."
18,Де барао Царський червоний,p100018.jpg,100,101,p10018,20,12,5,шт,2026,10/2/2025,12/17/2025,de-barao-tsarskyi-chervonyi,,"mid_late,late,red,plum,open_field","Середньо-пізній сорт відкритого грунту, висотою 2. 5-3. 0 м, розгалужене гроно дає до 20 плодів масою від 100-200гр. Сливка червона, врожайна.",Де Барао Царский Красный,"Среднепоздний сорт открытого грунта, высотой 2. 5-3. 0 м, разветвленная гроздь дает до 20 плодов массой от 100-200гр. Сливка красная, урожайная."
19,Де барао червоний,p100019.jpg,100,101,p10019,20,12,1,гр,2026,10/3/2025,12/18/2025,de-barao-chervonyi,,"mid_late,late,red,plum,open_field","Середньопізній сорт відкритого грунту має якості кімнатного вирощування, висотою до 2,5-3,0 м, пучок розгалужений,сливка,  колір червоний і смачний.дуже врожайний.",Де Барао красный,"Среднепоздний сорт открытого грунта, природне для комнатного выращивания, высотой до 2,5-3,0 м, гроздь разветвленная, сливка красная, вкусная, урожайная."
20,Де барао чорний,p100020.jpg,100,101,p10020,20,15,1,гр,2026,10/4/2025,12/19/2025,de-barao-chornyi,,"mid_late,late,black,brown,plum,open_field","Середньопізній сорт відкритого грунту має якості кімнатного вирощування, висотою до 2,5-3,0 м, пучок розгалужений, колір чорний зкоричневим відтінком врожайний і смачний.",Де Барао чёрный,"Среднепоздний сорт открытого грунта, имеет качества комнатного выращивания, высотой до 2,5-3,0 м, гроздь разветвленная, сливка черная в коричневым оттенком,вкусная."
21,Жираф,p100021.jpg,100,101,p10021,20,15,1,гр,2026,10/5/2025,12/20/2025,zhyraf,p100021_1.jpg,"late,tall,canning,orange,meaty,keeping","Пізній сорт, високий, плоди вагою 80-90 гр. лежкі, добре дозрівають зібрані зазделегідь, м'ясисті, помаранчевого кольору, чудові в консервуванні, смачні.Рекомендовані аллегрикам.",Жыраф,"Поздний сорт, высокорослый, плоды массой 80-90 гр. лежкие, дозревают хорошо собранные заранее, мясистые, оранжевого цвета, чудесные в консервации, вкусные.Подходять людям с аллергией."
22,Золоте сердце,p100022.jpg,100,101,p10022,20,15,2,гр,2026,10/6/2025,12/21/2025,zolote-serdtse,,"mid_late,late,tall,baby_food,yellow,elongated","Сорт середньопізній, високий, кущ добре розгалужений, вегетація 100-110 днів від розсади, плоди витягнуті, жовті, для дитячого харчування.",Золотое сердце,"Среднепоздний сорт, высокорослый, куст хорошо разветвленный, вегетация 100-110 дней от всходов, плод удлиненный, желтый, для детского питания."
23,Засолочне чудо,p100023.jpg,100,,p10023,20,15,1,гр,2026,10/7/2025,12/22/2025,zasolochne-chudo,,"mid_maturing,pickling,red,transportable,open_field","Середньостиглий сорт відкритого грунту підходить для масових насаджень, висота 1,3-1,5 червоний, ринковий, транспортабельний, сольовий.",Засолочное чудо,"Среднеспелый сорт открытого грунта подходит для массовых насаждений, высота 1, 3-1, 5 м красный, рыночный, транспортабельный, засолочный."
24,Корніївский,p100024.jpg,100,102,p10024,500,15,2,гр,2026,10/8/2025,12/23/2025,korniivskyi,,"early,mid_early,juice,paste,sauce,pink,thin_skin","Середньоранній сорт, висота 1, 3-1,6 м. Великі плоди з тонкою шкіркою, плід рожевий, насиченого кольору гладенький незамінні в салатах і добре себе виявив у виготовленні паст, соусів.Вага від 400 до 600 но.",Корнеевский,"Среднеранний сорт, высота 1, 3-1,6м. Плоды крупные с тонкой кожицей, розовые, соки, томаты, пасты насыщенного вкуса, незаменим в салатах.Не подвержен растрескиванию, вес от400 до 600гр."
25,Мікадо,p100025.jpg,100,101,p10025,20,15,1,гр,2026,10/9/2025,12/24/2025,mikado,,"mid_maturing,pickling,red,pink,disease_resistant,high_yield","Середньостиглий сорт, висота 1, 2-1,5 м, плоди рожево-червоні, не тріскаються, стійкі до хвороб. Відноситься до ринкових засолочних сортів дуже продуктивний.",Микадо,"Среднеспелый сорт, высота 1, 2-1,5м плоды розово-красные, не растрескиваются, устойчивы к болезням. Рыночный засолочный сорт очень урожайный."
26,Перцевидний оранжевий,p100026.jpg,100,102,p10026,10,12,2,шт,2026,10/10/2025,12/25/2025,pertsevydnyi-oranzhevyi,,"mid_late,late,orange","Середньопізній сорт народної селекції, врожайність до 10 кг з одного куща заввишки 1,8-2,0 м , апельсиновий, перцеподібний, смачний.",Перцевидный оранжевый,"Среднепоздний сорт народной селекции, урожайность до 10кг с одного куста высотой 1,8-2,0 м. , оранжевый, перцевидной формы, вкусный."
27,Потрібний розмір,p100027.jpg,100,,p10027,20,15,1,гр,2026,10/11/2025,12/26/2025,potribnyi-rozmir,,"mid_maturing,red,round,flat_round","Середньостиглий сорт, вегетація 110-120 днів. червоний, плоскокруглий, ребристий, високого смаку, для переробки і їстівний.протистоїть захворюванням.",Нужный размер,"Среднеспелый сорт, вегетация 110-120 дн. красный, плоскоокруглой формы, ребристый, высокие вкусовые качества, для переработки и солений кстойчив к болезням."
28,Принцеса Турандот,p100028.jpg,100,103,p10028,15,10,1,гр,2026,10/12/2025,12/27/2025,pryntsesa-turandot,,"early,tall,baby_food,pear,sweet,keeping,disease_resistant,high_yield","Ранньоурожайний сорт, високий з особливими  грушоподібними плодами з солодким смаком, стійкий до хвороб, для дитячого харчування, дуже легкий, має здатність дозрівання в зібраному вигляді.",Принцеса Турандот,"Ранний урожайный сорт, высокорослый с особенными плодами грушевидной формы со сладким вкусом, устойчив к болезням, для детского питания.Имеет хорошою лежкость."
29,Рожевий гігант,p100029.jpg,100,101,p10029,40,12,5,шт,2026,10/13/2025,12/28/2025,rozhevyi-hihant,,"mid_late,late,paste,pink,high_yield","Сорт середньопізній, високоврожайний, плоди рожевого кольору масою до 200-300 г. Смакові якості відмінні, використовуються для томатів і паст.",Розовый гигант,"Среднепоздний, 
 массой до 200-300 гр. Вкусовые качества отличные, используют для томатов и паст."
30,Рожевий слон,p100030.jpg,100,101,p10030,20,18,1.5,гр,2026,10/14/2025,12/29/2025,rozhevyi-slon,,"late,tall,sprawling,pink","Пізній сорт, високий, розкиданий міцний кущ, плоди рожевого кольору, вагою від 300 грамів іноді до 1 кг, смачні в салатах і в томатних продуктах.",Розовый слон,"Поздний сорт, высокорослый, раскидистый крепкий куст, плоды розовые, массой от 300гр иногда до 1кг, вкусные в салатах и в томатных изделиях."
31,Рожевий фламінго,p100031.jpg,100,102,p10031,0,10,2,гр,2026,10/15/2025,12/30/2025,rozhevyi-flaminho,,"early_maturing,pink,oval,plum,no_green_shoulder","Ранньостигла сортова сливка вегетація 90 днів від розсади, висота рослини до 1 м, плоди овальні, рожеві, без зеленої плями на плодоносику, смачні",Розовый фламинго,"Скороспелый сорт вегетация 90 дней от всходов, высота растения до 1м, плоды овальные, розовые, без зеленого пятна у плодоножки, вкусные"
32,Російський розмір,p100032.jpg,100,102,p10032,60,10,3,гр,2026,10/16/2025,12/31/2025,rosiiskyi-rozmir,,"late,determinate,indeterminate,red,needs_trellis","Пізньо-стиглий (130-140) днів, індетермінантний гібрід з необмеженим ростом, формовка в 1 стебло, обовязкова підвязка, Стійкий до вірусів, червон.",Русский размер,"Позднеспелый (130-140) дней, индетерминантный гибрид с неограниченным ростом, формовка в 1 стебель, обязательная подвязка, устойчив к вирусам, красный."
33,Сливка гігант (оранжевий),p100033.jpg,100,102,p10033,40,10,2,гр,2026,10/17/2025,1/1/2026,slyvka-hihant-oranzhevyi,,"mid_maturing,canning,fresh,orange,elongated,plum,high_yield,long_fruiting","Середньостиглий урожайний сорт подовженного плодоношення, массою 150-180гр, тип  сливка, для консервування та вікористання в свіжім виляд.",Сливка гигант (оранжевый),"Среднеспелый урожайный сорт продолжительного плодоношения, массой 150-180гр, тип сливка, для консервирования и использования в свежем виде."
34,Сливка гігант (червоний),p100034.jpg,100,102,p10034,20,12,2,гр,2026,10/18/2025,1/2/2026,slyvka-hihant-chervonyi,,"mid_maturing,canning,fresh,red,plum,high_yield,long_fruiting","Середньостиглий урожайний сорт тривалого плодоношення, масою 150-180 г, тип вершків, для консервування та свіжого використання.Висока врожайність.",Сливка гигант (красный),"Среднеспелый урожайный сорт продолжительного плодоношения, массой 150-180гр, тип сливка, для консервирования и использования в свежем виде.
Очень урожайный сорт."
35,Слов'янський Шедевр,p100035.jpg,100,102,p10035,20,15,5,шт,2026,10/19/2025,1/3/2026,slov-ianskyi-shedevr,p100035_1.jpg,"mid_maturing,red,keeping","Середньостиглий сорт, чудовий помідор, поєднання смакових властивостей і технічних досягнень, червоний вагою 350-400 г, лежкий.Фаворит ринку.",Словянский шедевр,"Среднеспелый сорт, чудесного томата, соединение вкусовых свойств и технических достижений, красный массой 350-400гр, лежкий.Фаворит продаж."
36,Чудо світу (лимон-ліана),p100036.jpg,100,101,p10036,20,18,2,гр,2026,10/20/2025,1/4/2026,chudo-svitu-lymon-liana,,"mid_maturing,yellow,needs_trellis","Середньостигла рослина з великою кількістю яскраво-жовтих плодів вагою від 60-120 грам, з чудовим смаком, підв 'язка обов' язкова.діти у захваті від ціх смаколиків.",Чудо света,"Среднеспелое растение с большим количеством ярко желтого цвета плодов весом от 60-120гр, с чудесным вкусом, подвязка обязательна.Лучшее из лакомств для детей."
37,Сосулечка рожева,p100037.jpg,100,101,p10037,20,10,1,гр,2026,10/21/2025,1/5/2026,sosulechka-rozheva,,"early,mid_early,determinate,indeterminate,pink","Середньоранній сорт, невизначений тип,висота 180-2, 00м, щітка утворює 6-8 плодів масою 60-80г, нагадує рожеву бурульку, смачна.",Сосулька розовая,"Среднеранний сорт, индетерминантного типа, высотой 1,80-2,00м, кисть формирует 6-8 плодов весом 60-80гр, напоминает розовую сосульку, вкусный."
38,Фейєрверк,p100038.jpg,100,102,p10038,20,12,1.5,гр,2026,10/22/2025,1/6/2026,feiierverk,,"early,juice,red,juicy","Найбільш ранній сорт належить до групи томатів бутерброд них,, червоних, вагою 270-300 грамів, найбільш соковитих. Салати, гамбургери, барбекю - це феєрверки.",Фейерверк,"Ранний сорт, относится к группе биф томатов, красный, 270-300гр весом, самый сочный. Салаты, бургеры, барбекю - это Фейерверк."
39,Хурма,p100039.jpg,100,101,p10039,0,10,5,шт,2026,10/23/2025,1/7/2026,khurma,,"mid_late,late,tall,sprawling,yellow,orange,sweet","Сорт середньопізній, рослина висока, до 2,5 м. Кущ розростається, міцний, плоди великі, жовто-оранжеві 300-400 грам добре дозрівають, солодкі.",Хурма,"Среднепоздний сорт, растение высокорослое, до 2, 5 м. Куст раскидистый, крепкий, плоды крупные желто-оранжевые 300-400гр дозревают хорошо, сладкие."
40,Чорний принц,p100040.jpg,100,101,p10040,20,12.5,5,шт,2026,10/24/2025,1/8/2026,chornyi-prynts,,"mid_late,late,tall,salad,black,brown,high_yield","Середньо -пізній високорослий надзвичайно врожайний сорт, плоди 250-300гр, приємні на смак, зелено-коричневого кольору, салатні.",Чорный принц,"Среднепоздний высокорослый чрезвычайно урожайный сорт, плоды 250-300гр, приятные на вкус, зелено-коричневого цвета, салатные."
41,Чорний слон,p100041.jpg,100,101,p10041,20,12,2,шт,2026,10/25/2025,1/9/2026,chornyi-slon,,"mid_late,late,tall,salad,black,brown","Середньопізній, високиорослий сорт оригінального кольору від темно-коричневого до насиченого бордового, вагою до 400 грам, салатний має оксидантні властивості.",Чорный слон,"Среднепоздний, высокорослый сорт оригинальной окраски от темно коричневого до насыщенного бордового, до 400гр массой, салатный.Имеет оксидантные свойства"
42,Агата,p100042.jpg,100,102,p10042,100,10,1,гр,2026,10/26/2025,1/10/2026,ahata,,"universal,meaty,firm,keeping,open_field,greenhouse,needs_trellis","Універсальний сорт на ринку вже 30 років, не поступається сортам нової породи, вирощується у відкритому грунті та в плівкових укриттях, не потребує підв 'язки,  але потребує підсвічування. Плоди щільні, не тріскаються, лежкі, м'якоть м'ясиста. При правильному догляді може дати 7 кг врожаю.",Агата,"Универсальный сорт уже 30 лет на рынке ни грамма не уступает сортам новой селекции, выращивается и в открытом грунте и в пленочных укрытиях, не требует подвязки,  нуждается в освещенности. Плоды плотные не растрескиваются, лежкие, мякоть мясистая. При хорошем уходе может дать 7 кг урожая."
43,Американський ребристий,p100043.jpg,100,102,p10043,80,15,5,шт,2026,10/27/2025,1/11/2026,amerykanskyi-rebrystyi,,"mid_maturing,salad,red,late_blight,open_field,greenhouse,high_yield","Новий супер середньостиглий сорт томатів, плоди великі, вогненно-червоні  відноситься до салатних сортів Має високу стійкість  до  фітофторозу, маса плодів від 400 г до 1 кг. У плівковому укритті врожайність вища, ніж у відкритому ґрунті, але можна використовувати обидва види вирощування.Використовуєтся також в індустрії швидкого харчування для бургерів",Американский ребристый,"Новый супер - урожайный средне - спелый сорт томата, плоды крупные,  огненно - красные относится к салатным сортам томатов. Отличается большой устойчивостью  к  фитофторозу, вес плода от 400гр до 1 кг. В пленочном укрытии урожай выше чем в открытом грунте, но можно использовать оба вида выращивания кроме обычного использования применяют для изготовления бургеров."
44,Аврора,p100044.jpg,100,103,p10044,20,15,1,гр,2026,10/28/2025,1/12/2026,avrora,,"determinate,short,red,round,disease_resistant,no_green_shoulder","Надшвидкий, низькорослий сорт, від розсади до дозрівання 79-85 днів, детермінантний, плоди закруглені інтенсивно червоного кольору без зеленої плями на плодоносику. Врожайність 9 -12 кг на м2. Підходить для всіх видів  обробки, стійкий до хвороб.",Аврора,"Ультраскороспелый, низкорослый сорт, от всходов до созревания 79 - 85 дней, детерминантный, плоды округлые интенсивно красного цвета без зеленого пятна у плодоножки. Урожайность 9 -12 кг с м2. Пригоден для всех видов  переработки, устойчив к болезням."
45,Арізона,p100045.jpg,100,103,p10045,20,10,1,гр,2026,10/29/2025,1/13/2026,arizona,,"mid_maturing,fresh,round,open_field","Томат відрізняється тим, що його можна висаджувати не тільки розсадою, але і насінням  у відкритий грунт, середньостиглий сорт, плоди округлі, міцні масою 100-140 г. Підходить для всіх видів обробки, дуже смачний у свіжому вигляді.",Аризона,"Томат отличается тем что, можно сажать не только рассадой, но и семенами  в открытый грунт, среднеспелый сорт, плод округлый, крепкий массой от 100- 140гр. Пригоден для всех видов переработок, очень вкусный в свежем виде."
46,Балада,p100046.jpg,100,103,p10046,35,25,7,гр,2026,10/30/2025,1/14/2026,balada,,"mid_maturing,red,round,transportable,open_field,high_yield","Середньостиглий сорт для відкритого грунту, висаджується на добре прогрітих територіях, захищених від холодних вітрів. Плоди плоскі, округлі,  темно-червоні, масою 130-180 г. Врожайний, транспортабельний, смачний.",Баллада,"Среднеспелый сорт для открытого грунта, высаживается на хорошо прогретые участки защищенные от холодных ветров. Плод плоско округлой формы,  темно - красного цвета, массой130-180гр. Урожайный, транспортабельный, вкусный."
47,Білий налив 241,p100047.jpg,100,103,p10047,15,8,1,гр,2026,10/31/2025,1/15/2026,bilyi-nalyv-241,,"early_maturing,red,round,open_field,no_pinch,uniform_ripening","Ранньостиглий сорт відкритого грунту, що відрізняється дуже дружнім дозріванням, вирощюется без пасинкування врожайність до 8 кг/ м2, кількість гнізд від 5 до 12. Плоди округлі, злегка ребристі, червоні, масою 90-135 г. Смак відмінний.",Белый налив 241,"Раннеспелый сорт открытого грунта, отличителен очень дружным созреванием, выращивается без пасынкования, урожайность до 8кг/ м2, число гнезд от 5 до 12. Плоды округлые слабо-ребристые, красные массой  90-135гр. Вкусовые качества отличные."
48,Волгоградскій323,p100048.jpg,100,103,p10048,50,10,1,гр,2026,11/1/2025,1/16/2026,volhohradskii323,,"salad,juice,paste,red,round","Базовий сорт, рослина насиченого темно зеленого забарвлення стебел, низька 40-50см. Плід круглий трохи приплюснутий темно червоного кольору, скоростиглий, салатного призначення. Віддає перевагу суглинні грунту. Дуже смачний для томатних соків, кетчупів, паст.",Волгоградский323,"Базовый сорт, растение насыщенного темно- зеленого окраса стеблей, низкое 40-50см. Плод круглый немного приплюснут темно красного цвета, скороспелый, салатного назначения. Предпочитает суглинистые почвы. Очень вкусен для  томатных  соков, кетчупов, паст."
49,Волгоградський 323,p100049.jpg,100,103,p10049,50,25,5,гр,2026,11/2/2025,1/17/2026,volhohradskyi-323,,"early,salad,juice,paste,red,round","Базовий сорт, рослина насиченого темно-зеленого кольору стебел, дуже ранній. Плоди округлі, злегка сплющені, темно-червоні, салатного призначення, але також смачні томатні соки, кетчупи, пасти.",Волгоградский 323,"Базовый сорт, растение насыщенного темно зеленого окраса стеблей, очень ранний. Плод округлый слабо приплюснутый  темно красного цвета, салатного назначения но и вкусные томатные соки, кетчупы, пасты."
50,Волгоградський 5/95,p100050.jpg,100,103,p10050,25,18,5,гр,2026,11/3/2025,1/18/2026,volhohradskyi-5-95,,"late,canning,juice,paste,red,round,flat_round","Середній пізній сорт має високу врожайність. Плоди плоскокруглі, з насиченим червоним кольором, масою  90/150 г. Використовується при виготовленні томатних соків, паст та при  консервуванні. Смак відмінний.",Волгоградский 5/95,"Средне поздний сорт отличается высокой урожайностью. Плоды плоскоокруглые, с насыщенным красным цветом, массой  90/150гр, Применяется в изготовлении, томатных соков, паст и в  консервации. Вкусовые качества отличные."
51,Волгоградський рожевий,p100051.jpg,100,103,p10051,20,10,1,гр,2026,11/4/2025,1/19/2026,volhohradskyi-rozhevyi,,"early_maturing,pink,transportable,open_field,uniform_ripening",Ранньостиглий сорт для вирощування у відкритому грунті вегетаційний період 95-100 днів Характеризується дружним дозріванням і гарною транспортабельністю.,Волгоградский розовый,Раннеспелый сорт для выращивания в  открытом грунте вегетационный период  95-100 дней Характеризуется  дружным созреванием и хорошей транспортабельностью.
52,Шедевр Рудас,p100052.jpg,100,102,p10052,20,12,1,гр,2026,11/5/2025,1/20/2026,shedevr-rudas,,"red,orange,firm,high_yield,long_storage",Селекційний сорт з дуже довгим терміном зберігання до 4 місяців. Плоди середнього розміру з щільною шкіркою червоно-оранжевого кольору м'якоть має більш інтенсивне забарвлення. Сорт дуже урожайний.,Шедевр Рудаса,Селекционный сорт с очень длинным сроком хранения до 4 месяцев. Плоды среднего размера с плотной кожурой красно-оранжевого цвета мякоть имеет более интенсивную окраску. Сорт очень урожайний.
53,Господар,p100053.jpg,100,103,p10053,50,10,1,гр,2026,11/6/2025,1/21/2026,hospodar,,"red,firm,late_blight,open_field","Сорт виведений в Українському НДІ. Плоди великі, щільні, червоні смакові і товарні якості відмінні. Перспективний сорт для відкритого грунту так як стійкий до фітофторозу.",Господар,"Сорт выведен в Украинском НИИ. Плоды крупные, плотные, красные вкусовые и товарные качества отличные. Перспективный сорт для открытого грунта  так как устойчив к фитофторозу."
54,Господар,p100054.jpg,100,103,p10054,10,17,7,гр,2026,11/7/2025,1/22/2026,hospodar,,"determinate,red","Український сорт, детермінантного типу слабо облиственний. Плоди червоні великі відмінного смаку. Стійкий до грибкових захворювань.",Господар,"Украинский сорт, детерминантного типа слабо облиственный. Плоды красные крупные  отличного вкуса. Устойчив к грибковым заболеваниям."
